Time,Open,High,Low,Close,Qty,Number,VWAP
2023-05-14 05:20:00,0.2117,0.2119,0.2117,0.2119,3036.0,17,0.21178422266139657
2023-05-14 05:21:00,,,,,0.0,0,
2023-05-14 05:22:00,,,,,0.0,0,
2023-05-14 05:23:00,,,,,0.0,0,
2023-05-14 05:24:00,0.2119,0.2119,0.2119,0.2119,461.0,4,0.2119
2023-05-14 05:25:00,,,,,0.0,0,
2023-05-14 05:26:00,,,,,0.0,0,
2023-05-14 05:27:00,,,,,0.0,0,
2023-05-14 05:28:00,0.2117,0.2117,0.2117,0.2117,773.0,2,0.2117
2023-05-14 05:29:00,0.2117,0.2117,0.2116,0.2116,29892.0,28,0.21160157232704402
2023-05-14 05:30:00,0.2115,0.2117,0.2115,0.2116,5605.0,14,0.21160515611061553
2023-05-14 05:31:00,0.2116,0.2116,0.2115,0.2115,1111.0,3,0.2115807380738074
2023-05-14 05:32:00,0.2115,0.2115,0.2115,0.2115,248.0,1,0.2115
2023-05-14 05:33:00,,,,,0.0,0,
2023-05-14 05:34:00,,,,,0.0,0,
2023-05-14 05:35:00,0.2115,0.2115,0.2115,0.2115,120.0,1,0.2115
2023-05-14 05:36:00,,,,,0.0,0,
2023-05-14 05:37:00,,,,,0.0,0,
2023-05-14 05:38:00,,,,,0.0,0,
2023-05-14 05:39:00,0.2115,0.2115,0.2113,0.2113,668.0,5,0.2113763473053892
2023-05-14 05:40:00,0.2114,0.2114,0.2114,0.2114,120.0,1,0.21139999999999998
2023-05-14 05:41:00,,,,,0.0,0,
2023-05-14 05:42:00,0.2114,0.2114,0.2113,0.2113,1076.0,3,0.21130650557620817
2023-05-14 05:43:00,,,,,0.0,0,
2023-05-14 05:44:00,0.2114,0.2114,0.2114,0.2114,6552.0,17,0.21139999999999998
2023-05-14 05:45:00,0.2114,0.2116,0.2114,0.2116,1013.0,11,0.21143534057255675
2023-05-14 05:46:00,,,,,0.0,0,
2023-05-14 05:47:00,0.2116,0.2116,0.2116,0.2116,100.0,1,0.2116
2023-05-14 05:48:00,0.2115,0.2116,0.2115,0.2116,165.0,2,0.21156060606060606
2023-05-14 05:49:00,,,,,0.0,0,
2023-05-14 05:50:00,,,,,0.0,0,
2023-05-14 05:51:00,0.2115,0.2115,0.2115,0.2115,1573.0,1,0.2115
2023-05-14 05:52:00,,,,,0.0,0,
2023-05-14 05:53:00,0.2115,0.2115,0.2114,0.2114,1198.0,2,0.2114100166944908
2023-05-14 05:54:00,0.2113,0.2113,0.2113,0.2113,120.0,1,0.21130000000000002
2023-05-14 05:55:00,,,,,0.0,0,
2023-05-14 05:56:00,0.2113,0.2113,0.2113,0.2113,1023.0,3,0.2113
2023-05-14 05:57:00,,,,,0.0,0,
2023-05-14 05:58:00,0.2113,0.2113,0.2112,0.2112,883.0,3,0.21121347678369196
2023-05-14 05:59:00,,,,,0.0,0,
2023-05-14 06:00:00,0.2113,0.2114,0.2113,0.2114,8748.0,25,0.21132016460905348
2023-05-14 06:01:00,0.2114,0.2117,0.2114,0.2116,7919.0,18,0.21157995959085743
2023-05-14 06:02:00,0.2116,0.2116,0.2116,0.2116,1736.0,4,0.2116
2023-05-14 06:03:00,0.2116,0.2116,0.2116,0.2116,431.0,2,0.21159999999999998
2023-05-14 06:04:00,,,,,0.0,0,
2023-05-14 06:05:00,0.2115,0.2115,0.2115,0.2115,405.0,2,0.2115
2023-05-14 06:06:00,0.2115,0.2115,0.2114,0.2114,2767.0,3,0.21144662088904947
2023-05-14 06:07:00,,,,,0.0,0,
2023-05-14 06:08:00,,,,,0.0,0,
2023-05-14 06:09:00,0.2115,0.2115,0.2115,0.2115,954.0,11,0.2115
2023-05-14 06:10:00,0.2115,0.2115,0.2115,0.2115,195.0,2,0.2115
2023-05-14 06:11:00,0.2115,0.2115,0.2113,0.2113,475.0,3,0.21135052631578946
2023-05-14 06:12:00,0.2114,0.2114,0.2114,0.2114,689.0,2,0.21140000000000003
2023-05-14 06:13:00,0.2116,0.2116,0.2116,0.2116,131.0,2,0.2116
2023-05-14 06:14:00,0.2115,0.2116,0.2115,0.2116,560.0,6,0.21158321428571428
2023-05-14 06:15:00,0.2116,0.2117,0.2116,0.2116,3400.0,33,0.21161102941176468
2023-05-14 06:16:00,,,,,0.0,0,
2023-05-14 06:17:00,0.2116,0.2118,0.2116,0.2118,1428.0,13,0.2116168067226891
2023-05-14 06:18:00,,,,,0.0,0,
2023-05-14 06:19:00,0.2118,0.2119,0.2118,0.2119,1085.0,12,0.2118083870967742
2023-05-14 06:20:00,0.2118,0.2119,0.2118,0.2119,2627.0,16,0.21186029691663494
2023-05-14 06:21:00,0.212,0.212,0.212,0.212,2108.0,4,0.212
2023-05-14 06:22:00,0.2121,0.2121,0.212,0.212,361.0,7,0.21203240997229916
2023-05-14 06:23:00,0.2121,0.2121,0.2121,0.2121,565.0,2,0.2121
2023-05-14 06:24:00,,,,,0.0,0,
2023-05-14 06:25:00,0.2121,0.2121,0.2121,0.2121,15299.0,17,0.21209999999999998
2023-05-14 06:26:00,0.212,0.2122,0.212,0.2122,2030.0,8,0.21207684729064039
2023-05-14 06:27:00,,,,,0.0,0,
2023-05-14 06:28:00,,,,,0.0,0,
2023-05-14 06:29:00,0.2121,0.2121,0.2121,0.2121,120.0,1,0.2121
2023-05-14 06:30:00,0.212,0.212,0.212,0.212,119.0,1,0.21200000000000002
2023-05-14 06:31:00,0.2121,0.2121,0.2118,0.2118,4386.0,10,0.21199742362061103
2023-05-14 06:32:00,,,,,0.0,0,
2023-05-14 06:33:00,0.2119,0.2119,0.2118,0.2118,239.0,2,0.2118502092050209
2023-05-14 06:34:00,0.2118,0.2118,0.2118,0.2118,116.0,1,0.2118
2023-05-14 06:35:00,0.2119,0.2119,0.2119,0.2119,979.0,2,0.21190000000000003
2023-05-14 06:36:00,,,,,0.0,0,
2023-05-14 06:37:00,0.2119,0.2119,0.2119,0.2119,120.0,1,0.2119
2023-05-14 06:38:00,,,,,0.0,0,
2023-05-14 06:39:00,,,,,0.0,0,
2023-05-14 06:40:00,,,,,0.0,0,
2023-05-14 06:41:00,,,,,0.0,0,
2023-05-14 06:42:00,0.2119,0.2119,0.2119,0.2119,980.0,2,0.2119
2023-05-14 06:43:00,0.2119,0.2119,0.2118,0.2118,523.0,3,0.21189005736137667
2023-05-14 06:44:00,0.2119,0.2119,0.2118,0.2118,2137.0,4,0.21180561534861955
2023-05-14 06:45:00,,,,,0.0,0,
2023-05-14 06:46:00,0.2119,0.2119,0.2118,0.2118,979.0,2,0.21181215526046987
2023-05-14 06:47:00,0.2119,0.212,0.2119,0.212,4301.0,7,0.21194912810974192
2023-05-14 06:48:00,,,,,0.0,0,
2023-05-14 06:49:00,,,,,0.0,0,
2023-05-14 06:50:00,,,,,0.0,0,
2023-05-14 06:51:00,,,,,0.0,0,
2023-05-14 06:52:00,0.2119,0.2119,0.2119,0.2119,120.0,1,0.2119
2023-05-14 06:53:00,,,,,0.0,0,
2023-05-14 06:54:00,0.212,0.212,0.212,0.212,227.0,2,0.21200000000000002
2023-05-14 06:55:00,,,,,0.0,0,
2023-05-14 06:56:00,,,,,0.0,0,
2023-05-14 06:57:00,,,,,0.0,0,
2023-05-14 06:58:00,0.2119,0.2119,0.2118,0.2118,785.0,2,0.21181528662420382
2023-05-14 06:59:00,0.2118,0.2118,0.2118,0.2118,314.0,2,0.21180000000000002
2023-05-14 07:00:00,0.2119,0.212,0.2119,0.212,194.0,2,0.2119381443298969
2023-05-14 07:01:00,,,,,0.0,0,
2023-05-14 07:02:00,,,,,0.0,0,
2023-05-14 07:03:00,0.2119,0.2119,0.2119,0.2119,7563.0,4,0.2119
2023-05-14 07:04:00,,,,,0.0,0,
2023-05-14 07:05:00,,,,,0.0,0,
2023-05-14 07:06:00,,,,,0.0,0,
2023-05-14 07:07:00,,,,,0.0,0,
2023-05-14 07:08:00,0.212,0.212,0.212,0.212,118.0,1,0.212
2023-05-14 07:09:00,0.2119,0.2119,0.2119,0.2119,528.0,2,0.2119
2023-05-14 07:10:00,,,,,0.0,0,
2023-05-14 07:11:00,,,,,0.0,0,
